Trt,Time,mean,nullmean,se,sd
HF-HF,1,166.447,160,7.967,27.56582
HF-RV,1,165.266,160,6.787,23.48302
RV-RV,1,149.922,160,6,20.76
HF-HF,7,478.766,480,8.262,28.58652
HF-RV,7,492.339,480,12.9835,44.92291
RV-RV,7,468.142,480,11.213,38.79698
HF-HF,14,615.827,630,17.705,61.2593
HF-RV,14,654.187,630,21.541,74.53186
RV-RV,14,619.957,630,15.3445,53.09197
HF-HF,21,697.411,724,19.475,67.3835
HF-RV,21,752.886,724,26.8525,92.90965
RV-RV,21,721.018,724,16.2295,56.15407
HF-HF,28,764.832,800,23.9015,82.69919
HF-RV,28,835.061,800,33.0495,114.35127
RV-RV,28,790.209,800,15.639,54.11094
