Trt,Time,mean,se,sqr(12),sd
HF-HF,1,166.447,7.967,3.46,27.56582
HF-HF,2,229.024,8.5575,3.46,29.60895
HF-HF,3,292.192,7.672,3.46,26.54512
HF-HF,4,351.819,7.377,3.46,25.52442
HF-HF,5,402.003,7.377,3.46,25.52442
HF-HF,6,442.745,8.2625,3.46,28.58825
HF-HF,7,478.766,8.262,3.46,28.58652
HF-HF,8,504.163,9.4425,3.46,32.67105
HF-HF,9,530.741,10.0325,3.46,34.71245
HF-HF,10,546.695,12.6885,3.46,43.90221
HF-HF,11,567.372,13.5735,3.46,46.96431
HF-HF,12,587.457,15.344,3.46,53.09024
HF-HF,13,604.002,15.6395,3.46,54.11267
HF-HF,14,615.827,17.705,3.46,61.2593
HF-HF,15,627.059,16.8195,3.46,58.19547
HF-HF,16,643.604,16.2295,3.46,56.15407
HF-HF,17,653.657,17.41,3.46,60.2386
HF-HF,18,664.301,18.8855,3.46,65.34383
HF-HF,19,676.124,18.885,3.46,65.3421
HF-HF,20,685.587,19.77,3.46,68.4042
HF-HF,21,697.411,19.475,3.46,67.3835
HF-HF,22,708.644,20.3605,3.46,70.44733
HF-HF,23,719.288,20.951,3.46,72.49046
HF-HF,24,729.341,21.5405,3.46,74.53013
HF-HF,25,740.574,21.246,3.46,73.51116
HF-HF,26,747.086,21.836,3.46,75.55256
HF-HF,27,756.549,22.721,3.46,78.61466
HF-HF,28,764.832,23.9015,3.46,82.69919
HF-RV,1,165.266,6.787,3.46,23.48302
HF-RV,2,229.024,7.967,3.46,27.56582
HF-RV,3,293.963,10.623,3.46,36.75558
HF-RV,4,356.541,11.508,3.46,39.81768
HF-RV,5,409.085,11.508,3.46,39.81768
HF-RV,6,454.549,12.3935,3.46,42.88151
HF-RV,7,492.339,12.9835,3.46,44.92291
HF-RV,8,523.048,14.459,3.46,50.02814
HF-RV,9,553.167,15.049,3.46,52.06954
HF-RV,10,573.843,16.2295,3.46,56.15407
HF-RV,11,598.65,17.1145,3.46,59.21617
HF-RV,12,622.277,20.0655,3.46,69.42663
HF-RV,13,643.543,20.0655,3.46,69.42663
HF-RV,14,654.187,21.541,3.46,74.53186
HF-RV,15,667.19,21.5405,3.46,74.53013
HF-RV,16,683.145,23.3115,3.46,80.65779
HF-RV,17,698.51,23.902,3.46,82.70092
HF-RV,18,709.153,23.6065,3.46,81.67849
HF-RV,19,723.337,25.0815,3.46,86.78199
HF-RV,20,739.292,26.2625,3.46,90.86825
HF-RV,21,752.886,26.8525,3.46,92.90965
HF-RV,22,768.25,28.328,3.46,98.01488
HF-RV,23,781.255,28.328,3.46,98.01488
HF-RV,24,794.259,30.6885,3.46,106.18221
HF-RV,25,807.853,30.984,3.46,107.20464
HF-RV,26,818.496,30.6885,3.46,106.18221
HF-RV,27,826.189,31.869,3.46,110.26674
HF-RV,28,835.061,33.0495,3.46,114.35127
RV-RV,1,149.922,6,3.46,20.76
RV-RV,2,215.45,6.7865,3.46,23.48129
RV-RV,3,275.668,7.967,3.46,27.56582
RV-RV,4,337.065,9.7375,3.46,33.69175
RV-RV,5,389.02,10.3275,3.46,35.73315
RV-RV,6,431.532,10.8225,3.46,37.44585
RV-RV,7,468.142,11.213,3.46,38.79698
RV-RV,8,497.081,12.099,3.46,41.86254
RV-RV,9,525.429,14.7545,3.46,51.05057
RV-RV,10,545.515,14.164,3.46,49.00744
RV-RV,11,566.781,13.8685,3.46,47.98501
RV-RV,12,589.818,15.6395,3.46,54.11267
RV-RV,13,605.773,14.754,3.46,51.04884
RV-RV,14,619.957,15.3445,3.46,53.09197
RV-RV,15,635.322,15.049,3.46,52.06954
RV-RV,16,654.817,15.0495,3.46,52.07127
RV-RV,17,667.231,15.344,3.46,53.09024
RV-RV,18,679.055,14.754,3.46,51.04884
RV-RV,19,692.649,15.344,3.46,53.09024
RV-RV,20,706.243,15.0495,3.46,52.07127
RV-RV,21,721.018,16.2295,3.46,56.15407
RV-RV,22,732.251,15.344,3.46,53.09024
RV-RV,23,745.255,15.6395,3.46,54.11267
RV-RV,24,754.127,14.754,3.46,51.04884
RV-RV,25,764.181,15.3445,3.46,53.09197
RV-RV,26,774.824,15.3445,3.46,53.09197
RV-RV,27,780.746,15.049,3.46,52.06954
RV-RV,28,790.209,15.639,3.46,54.11094
